p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.3,0.2,0.9,0.06,0.27,0.0674,53059.3,849.0,1604.6,3367.6,55.0
0.3,0.2,1.0,0.06,0.3,0.0662,53138.1,813.3,1561.8,3317.0,56.3
0.3,0.3,0.3,0.09,0.09,0.0774,52892.3,1057.9,1935.1,3960.4,51.1
0.3,0.3,0.4,0.09,0.12,0.0761,52975.3,1004.5,1869.9,3853.9,53.3
0.3,0.3,0.5,0.09,0.15,0.0741,53013.7,992.2,1845.0,3779.6,54.0
0.3,0.3,0.6,0.09,0.18,0.0729,52976.7,932.2,1770.6,3667.5,54.2
0.3,0.3,0.7,0.09,0.21,0.0711,52997.0,903.7,1715.9,3589.4,53.0
0.3,0.3,0.9,0.09,0.27,0.0685,53050.1,850.1,1632.1,3418.6,54.8
0.3,0.3,1.0,0.09,0.3,0.0669,53174.7,806.3,1574.8,3346.4,57.5
0.3,0.4,0.4,0.12,0.12,0.0761,52964.3,1001.8,1885.3,3880.5,52.8
0.3,0.4,0.5,0.12,0.15,0.0755,52997.4,989.0,1860.2,3803.5,54.2
0.3,0.4,0.6,0.12,0.18,0.0722,52996.2,908.0,1744.0,3657.3,53.6
0.3,0.4,0.7,0.12,0.21,0.0712,52985.9,886.7,1701.0,3572.2,54.0
0.3,0.4,0.8,0.12,0.24,0.0695,53077.1,857.4,1656.9,3473.4,55.7
0.3,0.4,0.9,0.12,0.27,0.0682,53025.1,839.3,1615.5,3404.8,53.1
0.3,0.4,1.0,0.12,0.3,0.0676,53103.9,801.3,1572.7,3333.3,55.4
0.3,0.5,0.5,0.15,0.15,0.0747,52952.2,947.4,1824.5,3779.4,52.7
0.3,0.5,0.6,0.15,0.18,0.0731,52902.5,912.4,1765.9,3660.2,51.8
0.3,0.5,0.7,0.15,0.21,0.0721,52918.4,888.6,1720.6,3562.8,52.8
0.3,0.5,0.8,0.15,0.24,0.0702,53064.2,854.7,1665.7,3521.9,54.8
0.3,0.5,0.9,0.15,0.27,0.068,53056.1,814.1,1604.9,3391.6,54.5
0.3,0.5,1.0,0.15,0.3,0.0668,53112.6,794.2,1573.6,3337.8,55.0
