p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.200,0.400,0.400,0.080,0.080,0.0914,52811.2,1377.7,2438.1,4800.7,49.8
0.200,0.400,0.500,0.080,0.100,0.0885,52736.3,1318.2,2341.7,4605.8,49.0
0.200,0.400,0.600,0.080,0.120,0.0859,52758.4,1253.3,2249.8,4473.8,49.2
0.200,0.400,0.700,0.080,0.140,0.0841,52784.1,1201.2,2173.9,4329.3,49.6
0.200,0.400,0.800,0.080,0.160,0.0825,52904.5,1154.0,2108.5,4254.2,51.8
0.200,0.400,0.900,0.080,0.180,0.0801,52880.1,1109.2,2013.3,4112.9,51.5
0.200,0.400,1.000,0.080,0.200,0.0784,52818.8,1069.6,1967.9,4011.1,50.6
0.200,0.500,0.500,0.100,0.100,0.0898,52777.1,1297.5,2365.7,4673.5,50.3
0.200,0.500,0.600,0.100,0.120,0.0867,52801.1,1227.4,2242.6,4481.3,50.4
0.200,0.500,0.700,0.100,0.140,0.0846,52834.6,1205.8,2191.9,4357.8,51.6
0.200,0.500,0.800,0.100,0.160,0.0832,52833.4,1148.3,2097.1,4229.6,51.8
0.200,0.500,0.900,0.100,0.180,0.0807,52906.3,1110.5,2038.6,4141.1,54.0
0.200,0.500,1.000,0.100,0.200,0.0786,52845.9,1063.4,1958.7,3972.4,50.3
0.200,0.600,0.600,0.120,0.120,0.0878,52744.5,1234.6,2263.0,4499.1,48.8
0.200,0.600,0.700,0.120,0.140,0.0848,52858.3,1160.8,2168.5,4345.5,51.6
0.200,0.600,0.800,0.120,0.160,0.0834,52831.4,1160.4,2127.8,4272.1,50.6
0.200,0.600,0.900,0.120,0.180,0.0819,52788.0,1080.6,2027.2,4127.4,49.7
0.200,0.600,1.000,0.120,0.200,0.0792,52871.5,1054.2,1985.6,4023.4,51.7
0.200,0.700,0.700,0.140,0.140,0.0855,52751.2,1161.1,2183.8,4361.9,49.5
0.200,0.700,0.800,0.140,0.160,0.0844,52800.9,1127.9,2120.9,4267.0,50.1
0.200,0.700,0.900,0.140,0.180,0.0815,52918.7,1082.6,2029.5,4134.2,52.5
0.200,0.700,1.000,0.140,0.200,0.0797,52882.8,1042.1,1990.0,4036.3,51.5
0.200,0.800,0.800,0.160,0.160,0.0841,52962.5,1126.6,2136.5,4311.6,52.5
0.200,0.800,0.900,0.160,0.180,0.0823,52866.2,1080.4,2049.6,4139.4,50.7
0.200,0.800,1.000,0.160,0.200,0.0802,52880.7,1038.0,1983.6,3999.9,52.3
0.200,0.900,0.900,0.180,0.180,0.0823,52838.5,1054.1,2042.7,4161.4,50.4
0.200,0.900,1.000,0.180,0.200,0.0811,52934.3,1034.0,1996.0,4064.6,52.8
0.200,1.000,1.000,0.200,0.200,0.0807,52856.7,1031.6,1998.3,4040.6,50.5
0.300,0.100,0.100,0.030,0.030,0.0816,52860.0,1224.7,2142.6,4289.0,51.9
0.300,0.100,0.200,0.030,0.060,0.0789,52890.6,1145.2,2019.4,4092.7,52.5
0.300,0.100,0.300,0.030,0.090,0.0772,52978.4,1085.5,1942.4,3964.3,53.3
0.300,0.100,0.400,0.030,0.120,0.0745,52972.3,1049.8,1898.4,3868.3,52.8
0.300,0.100,0.500,0.030,0.150,0.0733,52967.9,993.2,1821.1,3745.2,53.9
0.300,0.100,0.600,0.030,0.180,0.0711,52987.1,937.9,1742.6,3622.5,53.3
0.300,0.100,0.700,0.030,0.210,0.0701,52981.1,915.0,1676.3,3511.9,54.6
0.300,0.100,0.800,0.030,0.240,0.0680,53125.5,888.8,1642.2,3476.6,55.7
0.300,0.100,0.900,0.030,0.270,0.0664,53081.2,836.8,1581.3,3319.6,55.6
0.300,0.100,1.000,0.030,0.300,0.0655,53048.7,819.8,1549.8,3283.3,53.5
0.300,0.200,0.200,0.060,0.060,0.0797,52924.4,1111.1,2030.7,4151.9,52.0
0.300,0.200,0.300,0.060,0.090,0.0773,52934.4,1085.3,1959.9,3967.7,52.6
0.300,0.200,0.400,0.060,0.120,0.0755,52892.6,1033.2,1860.6,3859.7,51.8
0.300,0.200,0.500,0.060,0.150,0.0733,53027.7,987.5,1828.3,3753.5,54.0
0.300,0.200,0.600,0.060,0.180,0.0719,53011.4,951.0,1773.1,3646.0,53.9
0.300,0.200,0.700,0.060,0.210,0.0695,52996.8,908.2,1687.7,3532.5,54.1
0.300,0.200,0.800,0.060,0.240,0.0685,53135.6,875.6,1649.3,3501.9,56.7
0.300,0.200,0.900,0.060,0.270,0.0672,53033.7,837.9,1586.1,3342.2,54.4
0.300,0.200,1.000,0.060,0.300,0.0663,53095.2,826.2,1564.1,3303.2,54.6
0.300,0.300,0.300,0.090,0.090,0.0780,52967.5,1052.3,1947.1,3958.2,53.9
0.300,0.300,0.400,0.090,0.120,0.0767,52960.1,1029.9,1904.9,3892.7,53.4
0.300,0.300,0.500,0.090,0.150,0.0741,52971.3,985.7,1838.3,3785.0,52.2
0.300,0.300,0.600,0.090,0.180,0.0731,53001.4,937.4,1788.9,3689.4,53.2
0.300,0.300,0.700,0.090,0.210,0.0703,52952.7,894.3,1703.4,3566.1,53.9
0.300,0.300,0.800,0.090,0.240,0.0695,53066.0,873.8,1662.7,3492.8,54.2
0.300,0.300,0.900,0.090,0.270,0.0690,53041.9,848.0,1635.0,3419.1,54.4
0.300,0.300,1.000,0.090,0.300,0.0671,53051.1,815.6,1570.8,3322.4,53.5
0.300,0.400,0.400,0.120,0.120,0.0765,52908.9,1002.7,1879.8,3840.6,51.7
0.300,0.400,0.500,0.120,0.150,0.0741,52967.6,962.3,1814.5,3742.7,53.4
0.300,0.400,0.600,0.120,0.180,0.0735,52976.3,929.3,1788.8,3681.7,52.9
0.300,0.400,0.700,0.120,0.210,0.0711,53028.2,888.2,1696.8,3543.9,53.7
0.300,0.400,0.800,0.120,0.240,0.0703,52953.1,871.3,1654.5,3455.4,54.1
0.300,0.400,0.900,0.120,0.270,0.0684,53125.5,838.2,1607.9,3392.8,57.2
0.300,0.400,1.000,0.120,0.300,0.0674,52990.5,805.3,1565.4,3316.4,53.5
0.300,0.500,0.500,0.150,0.150,0.0760,52974.6,962.5,1833.9,3788.4,53.9
0.300,0.500,0.600,0.150,0.180,0.0738,52979.1,923.0,1781.5,3668.1,53.5
0.300,0.500,0.700,0.150,0.210,0.0723,52968.2,883.6,1726.6,3571.1,53.3
0.300,0.500,0.800,0.150,0.240,0.0699,53005.6,855.3,1662.3,3492.6,52.8
0.300,0.500,0.900,0.150,0.270,0.0694,53013.2,828.8,1611.8,3395.2,54.5
0.300,0.500,1.000,0.150,0.300,0.0672,53036.2,790.5,1559.2,3318.4,54.7
0.300,0.600,0.600,0.180,0.180,0.0741,52938.7,921.2,1784.9,3707.8,53.1
0.300,0.600,0.700,0.180,0.210,0.0729,53059.3,887.8,1739.9,3586.1,54.9
0.300,0.600,0.800,0.180,0.240,0.0715,52994.0,845.2,1671.8,3504.8,53.9
0.300,0.600,0.900,0.180,0.270,0.0690,53078.2,820.2,1620.2,3411.6,54.7
0.300,0.600,1.000,0.180,0.300,0.0677,53150.9,793.5,1584.2,3338.0,57.1
0.300,0.700,0.700,0.210,0.210,0.0725,53000.4,870.5,1716.9,3582.3,52.9
0.300,0.700,0.800,0.210,0.240,0.0722,53035.6,839.7,1681.9,3520.4,53.7
0.300,0.700,0.900,0.210,0.270,0.0695,53036.6,819.4,1620.0,3433.8,54.5
0.300,0.700,1.000,0.210,0.300,0.0683,53054.9,792.2,1594.0,3365.4,55.7
0.300,0.800,0.800,0.240,0.240,0.0720,53022.8,836.3,1690.5,3554.7,54.0
0.300,0.800,0.900,0.240,0.270,0.0697,53075.4,792.2,1624.3,3434.6,54.8
0.300,0.800,1.000,0.240,0.300,0.0691,53013.1,796.1,1592.8,3358.6,54.3
0.300,0.900,0.900,0.270,0.270,0.0708,53045.5,809.0,1643.8,3460.5,54.9
0.300,0.900,1.000,0.270,0.300,0.0694,53022.9,764.9,1581.0,3362.6,54.4
0.300,1.000,1.000,0.300,0.300,0.0692,52958.2,774.8,1592.2,3352.6,52.3
0.400,0.100,0.100,0.040,0.040,0.0716,53064.5,961.7,1759.5,3659.3,54.2
0.400,0.100,0.200,0.040,0.080,0.0703,53023.8,928.6,1706.8,3564.0,53.6
0.400,0.100,0.300,0.040,0.120,0.0685,53065.5,887.7,1657.1,3445.9,55.0
0.400,0.100,0.400,0.040,0.160,0.0672,53179.8,838.2,1602.6,3372.4,56.8
0.400,0.100,0.500,0.040,0.200,0.0655,53073.6,806.1,1540.5,3250.6,55.0
0.400,0.100,0.600,0.040,0.240,0.0643,53187.6,772.2,1487.7,3200.5,59.1
0.400,0.100,0.700,0.040,0.280,0.0619,53158.9,763.1,1463.1,3099.0,56.0
0.400,0.100,0.800,0.040,0.320,0.0620,53198.8,730.3,1421.3,3058.4,57.6
0.400,0.100,0.900,0.040,0.360,0.0602,53202.8,715.2,1385.5,2972.0,57.1
0.400,0.100,1.000,0.040,0.400,0.0596,53270.2,684.2,1344.1,2927.4,58.1
0.400,0.200,0.200,0.080,0.080,0.0704,53066.3,898.4,1702.2,3529.2,54.1
0.400,0.200,0.300,0.080,0.120,0.0691,53021.7,866.2,1643.0,3455.6,54.5
0.400,0.200,0.400,0.080,0.160,0.0672,53019.2,820.7,1572.1,3345.4,55.0
0.400,0.200,0.500,0.080,0.200,0.0656,53085.8,799.8,1537.4,3242.5,55.8
0.400,0.200,0.600,0.080,0.240,0.0649,53157.4,773.0,1493.3,3220.9,55.8
0.400,0.200,0.700,0.080,0.280,0.0634,53140.3,754.1,1473.1,3178.2,56.4
0.400,0.200,0.800,0.080,0.320,0.0621,53120.0,732.5,1424.1,3076.9,55.2
0.400,0.200,0.900,0.080,0.360,0.0606,53128.9,696.1,1387.6,2984.4,56.6
0.400,0.300,0.300,0.120,0.120,0.0695,53092.3,858.8,1652.1,3483.6,55.3
0.400,0.300,0.400,0.120,0.160,0.0680,53154.2,827.8,1588.7,3346.9,56.8
0.400,0.300,0.500,0.120,0.200,0.0661,53108.9,789.3,1542.4,3278.2,55.7
0.400,0.300,0.600,0.120,0.240,0.0651,52993.2,768.9,1506.0,3198.7,54.9
0.400,0.300,0.700,0.120,0.280,0.0643,53093.5,737.2,1459.7,3158.9,56.7
0.400,0.300,0.800,0.120,0.320,0.0619,53157.0,725.3,1434.6,3080.7,56.6
0.400,0.300,0.900,0.120,0.360,0.0619,53269.1,715.4,1420.7,3075.6,58.6
0.400,0.300,1.000,0.120,0.400,0.0601,53176.3,681.2,1360.3,2938.4,56.8
0.400,0.400,0.400,0.160,0.160,0.0682,53032.1,816.3,1611.7,3408.0,53.8
0.400,0.400,0.500,0.160,0.200,0.0670,53077.7,782.0,1549.9,3320.9,55.6
0.400,0.400,0.600,0.160,0.240,0.0656,53158.9,769.9,1523.4,3239.4,56.3
0.400,0.400,0.700,0.160,0.280,0.0642,53109.7,747.3,1478.8,3155.8,55.5
0.400,0.400,0.800,0.160,0.320,0.0631,53190.1,717.5,1430.5,3067.6,57.2
0.400,0.400,0.900,0.160,0.360,0.0619,53176.0,697.5,1391.0,3034.7,56.8
0.400,0.400,1.000,0.160,0.400,0.0610,53250.5,675.3,1381.9,2999.7,57.7
