p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.400,0.400,0.700,0.160,0.280,0.0640,53126.6,734.3,1463.2,3139.0,56.7
0.400,0.400,0.800,0.160,0.320,0.0623,53104.9,724.2,1432.7,3070.3,56.1
0.400,0.400,0.900,0.160,0.360,0.0616,53101.4,690.0,1398.6,2999.2,56.3
0.400,0.400,1.000,0.160,0.400,0.0611,53219.7,679.6,1368.7,2979.0,57.8
0.400,0.500,0.500,0.200,0.200,0.0677,53067.5,790.1,1560.0,3317.4,54.3
0.400,0.500,0.600,0.200,0.240,0.0657,53097.9,757.6,1517.9,3251.3,55.0
0.400,0.500,0.700,0.200,0.280,0.0647,53078.6,734.7,1474.5,3159.5,54.4
0.400,0.500,0.800,0.200,0.320,0.0637,53089.2,704.4,1434.9,3081.5,54.8
0.400,0.500,0.900,0.200,0.360,0.0627,53099.7,705.3,1428.2,3050.1,56.7
0.400,0.500,1.000,0.200,0.400,0.0609,53131.2,673.7,1363.6,2967.2,55.9
0.400,0.600,0.600,0.240,0.240,0.0673,53075.7,756.6,1526.2,3263.9,54.9
0.400,0.600,0.700,0.240,0.280,0.0650,53128.1,724.6,1477.4,3178.6,56.5
0.400,0.600,0.800,0.240,0.320,0.0639,53122.0,699.0,1439.4,3108.9,56.3
0.400,0.600,0.900,0.240,0.360,0.0621,53119.5,680.7,1397.7,3030.9,55.9
0.400,0.600,1.000,0.240,0.400,0.0612,53162.7,664.0,1374.2,2958.2,55.6
0.400,0.700,0.700,0.280,0.280,0.0654,53107.3,714.0,1482.8,3181.8,55.9
0.400,0.700,0.800,0.280,0.320,0.0650,53120.2,707.0,1447.9,3108.7,56.7
0.400,0.700,0.900,0.280,0.360,0.0630,53129.6,686.0,1412.1,3060.2,54.6
0.400,0.700,1.000,0.280,0.400,0.0623,53162.8,660.1,1389.2,3017.8,56.0
0.400,0.800,0.800,0.320,0.320,0.0646,53055.3,689.6,1450.5,3130.2,54.7
0.400,0.800,0.900,0.320,0.360,0.0634,53137.8,676.3,1410.0,3075.9,56.5
0.400,0.800,1.000,0.320,0.400,0.0627,53032.8,668.0,1382.3,2992.2,54.2
0.400,0.900,0.900,0.360,0.360,0.0640,53071.6,677.1,1422.9,3087.3,54.9
0.400,0.900,1.000,0.360,0.400,0.0628,53105.7,670.6,1392.1,3007.5,56.3
0.400,1.000,1.000,0.400,0.400,0.0638,53132.8,664.1,1413.9,3042.1,55.5
0.500,0.100,0.100,0.050,0.050,0.0653,53179.1,810.7,1550.2,3313.3,57.9
